class, NCLOC, DCP, NOCom,WMC
./src/main/java/org/jfree/chart/plot/DefaultDrawingSupplier.java,276,40.39,8,41
./src/main/java/org/jfree/chart/plot/dial/AbstractDialLayer.java,74,61.66,6,29
./src/main/java/org/jfree/chart/plot/dial/ArcDialFrame.java,228,51.18,10,51
./src/main/java/org/jfree/chart/plot/dial/DialBackground.java,100,58.68,11,46
./src/main/java/org/jfree/chart/plot/dial/DialCap.java,131,57.05,10,30
./src/main/java/org/jfree/chart/plot/dial/DialFrame.java,7,88.14,4,10
./src/main/java/org/jfree/chart/plot/dial/DialLayer.java,14,86.27,4,13
./src/main/java/org/jfree/chart/plot/dial/DialLayerChangeEvent.java,12,80.65,3,7
./src/main/java/org/jfree/chart/plot/dial/DialLayerChangeListener.java,5,90.2,4,10
./src/main/java/org/jfree/chart/plot/dial/DialPlot.java,373,50.4,16,83
./src/main/java/org/jfree/chart/plot/dial/DialPointer.java,279,50.36,10,43
./src/main/java/org/jfree/chart/plot/dial/DialScale.java,5,92.06,4,7
./src/main/java/org/jfree/chart/plot/dial/DialTextAnnotation.java,159,55.96,12,37
./src/main/java/org/jfree/chart/plot/dial/DialValueIndicator.java,327,52.61,16,76
./src/main/java/org/jfree/chart/plot/dial/StandardDialFrame.java,149,53.73,10,44
./src/main/java/org/jfree/chart/plot/dial/StandardDialRange.java,181,53.71,10,36
./src/main/java/org/jfree/chart/plot/dial/StandardDialScale.java,417,54.58,11,101
./src/main/java/org/jfree/chart/plot/DialShape.java,6,87.5,6,7
./src/main/java/org/jfree/chart/plot/DrawingSupplier.java,12,86.36,5,7
./src/main/java/org/jfree/chart/plot/FastScatterPlot.java,507,47.95,15,103
./src/main/java/org/jfree/chart/plot/flow/FlowPlot.java,455,39.74,3,113
./src/main/java/org/jfree/chart/plot/IntervalMarker.java,82,58.38,8,36
./src/main/java/org/jfree/chart/plot/Marker.java,268,55.56,13,61
./src/main/java/org/jfree/chart/plot/MeterInterval.java,89,55.05,9,20
./src/main/java/org/jfree/chart/plot/MeterPlot.java,643,44.71,19,111
./src/main/java/org/jfree/chart/plot/Pannable.java,11,86.25,4,12
